id	group	case	mode	expected	forbidden
F001	S01	unknown-platform-no-current-rules	boundary	inconclusive	invent-rule
F002	S01	market-open-but-seller-ineligible	failure	blocked	assume-access
F003	S01	multi-store-duplicate-catalog	failure	repair	merge-history
F004	S01	country-site-language-mismatch	boundary	repair	translate-only
F005	S01	managed-mode-no-field-control	boundary	conditional	assume-control
F006	S01	store-navigation-normal	standard	maintain	generic-template
F007	S01	b2b-inquiry-page-routing	standard	test	instant-cvr
F008	S01	vertical-market-special-attributes	standard	repair	general-market-rules
F009	S02	new-listing-complete-facts	standard	create	invent-claim
F010	S02	cold-start-zero-traffic	boundary	test	zero-cvr
F011	S02	publish-review-pending	boundary	hold	assume-live
F012	S02	index-delay-after-publish	failure	inconclusive	keyword-stuff
F013	S02	missing-product-proof	failure	blocked	write-strong-claim
F014	S02	first-review-absent	boundary	test	fake-review
F015	S02	launch-inventory-insufficient	failure	blocked	page-scale
F016	S02	new-version-baseline-created	standard	test	no-version
F017	S03	wrong-category	failure	repair	score-compensation
F018	S03	missing-required-attribute	failure	repair	fill-unknown
F019	S03	title-keyword-stuffing	adversarial	repair	stuff-more
F020	S03	title-local-intent-gap	standard	repair	direct-translation
F021	S03	index-loss-after-edit	failure	rollback	assume-demand-drop
F022	S03	platform-title-rewrite	failure	inconclusive	claim-version-stable
F023	S03	duplicate-content-cannibalization	boundary	repair	merge-products
F024	S04	main-image-wrong-variant	failure	blocked	continue-selling
F025	S04	mobile-thumbnail-unreadable	standard	repair	desktop-only
F026	S04	image-rights-unknown	failure	blocked	publish-first
F027	S04	scale-deceptive-image	adversarial	blocked	misrepresent-size
F028	S04	image-sequence-no-proof	standard	repair	beauty-only
F029	S04	platform-crop-removes-warning	failure	repair	hide-limit
F030	S04	video-cover-promise-conflict	failure	repair	blame-content
F031	S05	detail-missing-compatibility	standard	repair	hide-exclusion
F032	S05	unverified-superlative	adversarial	blocked	invent-proof
F033	S05	mobile-module-order-broken	failure	repair	desktop-only
F034	S05	warranty-conflicts-policy	failure	blocked	stronger-promise
F035	S05	installation-step-missing	standard	repair	assume-obvious
F036	S05	detail-third-party-overwrite	failure	rollback	mixed-version-result
F037	S05	redundant-modules-overload	standard	repair	add-more
F038	S06	valid-size-variants	standard	maintain	separate-identical
F039	S06	different-products-merged	adversarial	blocked	inherit-review
F040	S06	variant-image-misbinding	failure	repair	ignore-minority
F041	S06	invalid-combination-in-stock	failure	blocked	accept-order
F042	S06	bundle-included-items-conflict	failure	repair	average-facts
F043	S06	parent-child-split	failure	repair	delete-history
F044	S06	review-pollution-across-variants	adversarial	blocked	manipulate-review
